,0,1,,,,,原始R,R绝对值,随机森林,,原始R,,R绝对值,排名,,随机森林,排名,,,,R绝对值,排名,,,随机森林,排名,,,,,R绝对值,排名,随机森林,排名,综合排名,,,,原始R,,R绝对值,排名,,随机森林,排名,Avg排名,,随机森林归一化重要性
0,-0.361124671,1.36E-40,,,,PTT_max,-0.361124671,0.361124671,0.065305152,,-0.361124671,PTT_max,0.361124671,21,PTT_max,0.065305152,4,,,Width_total_0,0.515594294,1,,HR,0.332185281,1,,,14,Width_total_0,0.515594294,1,0.069720667,3,2,,,0.209884877,-0.515594294,Width_total_0,0.515594294,1,Width_total_0,0.069720667,3,2,,0.209884877
1,-0.0466387,0.095860685,,,,PTT_min,-0.0466387,0.0466387,0.032204927,,-0.0466387,PTT_min,0.0466387,38,PTT_min,0.032204927,7,,,Width_right_0,0.480999083,2,,skew,0.076194464,2,,,42,HR,0.471225959,3,0.332185281,1,2,,,1,0.471225959,HR,0.471225959,3,HR,0.332185281,1,2,,1
2,-0.249878519,1.29E-19,,,,PAT_max,-0.249878519,0.249878519,0.062167725,,-0.249878519,PAT_max,0.249878519,24,PAT_max,0.062167725,5,,,HR,0.471225959,3,,Width_total_0,0.069720667,3,,,0,PTT_max,0.361124671,21,0.065305152,4,12.5,,,0.196592552,-0.361124671,PTT_max,0.361124671,21,PTT_max,0.065305152,4,12.5,,0.196592552
3,-0.415943861,1.50E-54,,,,CT,-0.415943861,0.415943861,0.006444465,,-0.415943861,CT,0.415943861,9,CT,0.006444465,25,,,Width_total_25,0.463034348,4,,PTT_max,0.065305152,4,,,15,Width_total_25,0.463034348,4,0.009858477,21,12.5,,,0.029677645,-0.463034348,Width_total_25,0.463034348,4,Width_total_25,0.009858477,21,12.5,,0.029677645
4,-0.480999083,7.44E-75,,,,Width_right_0,-0.480999083,0.480999083,0.006318628,,-0.480999083,Width_right_0,0.480999083,2,Width_right_0,0.006318628,27,,,Width_right_25,0.443139306,5,,PAT_max,0.062167725,5,,,2,PAT_max,0.249878519,24,0.062167725,5,14.5,,,0.187147741,-0.249878519,PAT_max,0.249878519,24,PAT_max,0.062167725,5,14.5,,0.187147741
5,-0.443139306,1.66E-62,,,,Width_right_25,-0.443139306,0.443139306,0.003822934,,-0.443139306,Width_right_25,0.443139306,5,Width_right_25,0.003822934,33,,,Width_total_50,0.425433673,6,,ASd,0.035214283,6,,,4,Width_right_0,0.480999083,2,0.006318628,27,14.5,,,0.019021397,-0.480999083,Width_right_0,0.480999083,2,Width_right_0,0.006318628,27,14.5,,0.019021397
6,-0.420452584,8.08E-56,,,,Width_right_50,-0.420452584,0.420452584,0.002223222,,-0.420452584,Width_right_50,0.420452584,7,Width_right_50,0.002223222,36,,,Width_right_50,0.420452584,7,,PTT_min,0.032204927,7,,,38,skew,0.18983752,29,0.076194464,2,15.5,,,0.22937339,0.18983752,skew,0.18983752,29,skew,0.076194464,2,15.5,,0.22937339
7,-0.39258504,2.81E-48,,,,Width_right_75,-0.39258504,0.39258504,0.0012482,,-0.39258504,Width_right_75,0.39258504,11,Width_right_75,0.0012482,41,,,PWd,0.420051512,8,,DS,0.027413489,8,,,32,PWd,0.420051512,8,0.00666445,24,16,,,0.020062448,-0.420051512,PWd,0.420051512,8,PWd,0.00666445,24,16,,0.020062448
8,-0.384333187,3.52E-46,,,,Width_right_90,-0.384333187,0.384333187,0.001042588,,-0.384333187,Width_right_90,0.384333187,14,Width_right_90,0.001042588,42,,,CT,0.415943861,9,,Apdd_max,0.026048299,9,,,33,PWd_50,0.403792735,10,0.007703207,22,16,,,0.023189489,-0.403792735,PWd_50,0.403792735,10,PWd_50,0.007703207,22,16,,0.023189489
9,-0.363528855,3.76E-41,,,,Width_left_0,-0.363528855,0.363528855,0.005355245,,-0.363528855,Width_left_0,0.363528855,20,Width_left_0,0.005355245,28,,,PWd_50,0.403792735,10,,PI_max,0.023378567,10,,,41,En_Sp,0.309019529,22,0.018160046,11,16.5,,,0.054668425,0.309019529,En_Sp,0.309019529,22,En_Sp,0.018160046,11,16.5,,0.054668425
10,-0.371554767,4.77E-43,,,,Width_left_25,-0.371554767,0.371554767,0.003237809,,-0.371554767,Width_left_25,0.371554767,18,Width_left_25,0.003237809,34,,,Width_right_75,0.39258504,11,,En_Sp,0.018160046,11,,,3,CT,0.415943861,9,0.006444465,25,17,,0.332185281,0.019400212,-0.415943861,CT,0.415943861,9,CT,0.006444465,25,17,,0.019400212
11,-0.37489298,7.47E-44,,,,Width_left_50,-0.37489298,0.37489298,0.001764353,,-0.37489298,Width_left_50,0.37489298,16,Width_left_50,0.001764353,37,,,Width_total_75,0.38807316,12,,PIR_max,0.018019601,12,,,5,Width_right_25,0.443139306,5,0.003822934,33,19,,,0.011508439,-0.443139306,Width_right_25,0.443139306,5,Width_right_25,0.003822934,33,19,,0.011508439
