,importance
0,0.06530515223633958
1,0.03220492713344948
2,0.06216772496168123
3,0.006444464854069885
4,0.0063186282802851915
5,0.0038229338967424153
6,0.0022232224572952828
7,0.0012481995912608788
8,0.001042587684201904
9,0.005355244641313416
10,0.0032378089736207773
11,0.0017643534761342917
12,0.0013749932212713672
13,0.001028702995876081
14,0.06972066707953314
15,0.009858477012519426
16,0.0025301909310836267
17,0.0014362541621605694
18,0.001336755447895188
19,0.006765765472118287
20,0.004504013578049355
21,0.004568962071586323
22,0.004641725969499532
23,0.023378567397271035
24,0.012439270698942692
25,0.017328244734502844
26,0.017008248493471156
27,0.018019600995539068
28,0.01354505756252762
29,0.013428241627092682
30,0.027413488624682993
31,0.02604829875177979
32,0.006664450338871216
33,0.007703206568436608
34,0.014452761215820545
35,0.03521428325757051
36,0.01299422760078311
37,0.017192213509408263
38,0.07619446356987339
39,0.0063967737821586995
40,0.005331517687294871
41,0.018160046394805878
42,0.33218528106117984
